NUM_POSTE	NOM_USUEL	LAT	LON	ALTI	AAAAMMJJ	RR	QRR	TN	QTN	HTN	QHTN	TX	QTX	HTX	QHTX	TM	QTM	TNTXM	QTNTXM	TAMPLI	QTAMPLI	TNSOL	QTNSOL	TN50	QTN50	DG	QDG	FFM	QFFM	FF2M	QFF2M	FXY	QFXY	DXY	QDXY	HXY	QHXY	FXI	QFXI	DXI	QDXI	HXI	QHXI	FXI2	QFXI2	DXI2	QDXI2	HXI2	QHXI2	FXI3S	QFXI3S	DXI3S	QDXI3S	HXI3S	QHXI3S
45055001	ORLEANS	47.990667	1.778167	123	20220101	0.0	1	4.3	1	652	9	14.3	1	1402	9	9.1	1	9.3	1	10.0	1	0.5	9	2.7	9	0	9	2.8	1			4.1	1	140	1	1026	9	6.0	1	150	1	1026	9							5.8	1			1026	9
45055001	ORLEANS	47.990667	1.778167	123	20220102	0.0	1	8.3	1	2217	9	13.3	1	1214	9	11.6	1	10.8	1	5.0	1	7.0	9	7.6	9	0	9	6.9	1			9.9	1	210	1	1407	9	14.5	1	210	1	1520	9							14.1	1			1520	9
45055001	ORLEANS	47.990667	1.778167	123	20220103	7.8	1	10.4	1	400	9	12.5	1	1242	9	11.2	1	11.5	1	2.1	1	10.0	9	10.3	9	0	9	7.4	1			10.4	1	210	1	1708	9	14.5	1	210	1	1916	9							13.9	1			1710	9
45055001	ORLEANS	47.990667	1.778167	123	20220104	4.8	1	8.0	1	832	9	12.2	1	601	9	8.5	1	10.1	1	4.2	1	7.5	9	7.8	9	0	9	7.1	1			13.1	1	210	1	421	9	18.4	1	210	1	342	9							17.8	1			342	9
45055001	ORLEANS	47.990667	1.778167	123	20220105	0.0	1	-0.7	1	709	9	6.1	1	1348	9	1.5	1	2.7	1	6.8	1	-3.9	9	-1.8	9	412	9	4.1	1			6.7	1	270	1	1114	9	10.7	1	300	1	1404	9							10.0	1			1410	9
45055001	ORLEANS	47.990667	1.778167	123	20220106	0.2	1	-3.7	1	739	9	5.9	1	1432	9	1.1	1	1.1	1	9.6	1	-8.7	9	-7.0	9	573	9	2.7	1			6.1	1	200	9	2350	9	8.7	1	200	9	2355	9							8.5	1			2355	9
45055001	ORLEANS	47.990667	1.778167	123	20220107	3.0	1	1.6	1	2222	9	8.5	1	1347	9	5.5	1	5.1	1	6.9	1	1.3	9	1.4	9	0	9	7.5	1			12.0	1	250	9	2055	9	16.9	1	230	1	1758	9							16.2	1			1758	9
45055001	ORLEANS	47.990667	1.778167	123	20220108	6.2	1	2.8	1	215	9	9.5	1	1911	9	6.7	1	6.2	1	6.7	1	0.9	9	1.6	9	0	9	8.1	1			14.5	1	280	1	2111	1	20.7	1	260	9	2008	9												
45055001	ORLEANS	47.990667	1.778167	123	20220109	0.0	1	3.4	1	606	9	8.0	1	1347	9	5.4	1	5.7	1	4.6	1	2.5	9	3.0	9	0	9	4.9	1			10.9	1	260	1	109	9	14.3	1	260	1	309	9							13.8	1			310	9
45055001	ORLEANS	47.990667	1.778167	123	20220110	0.0	1	3.6	1	646	9	7.5	1	1317	9	4.6	1	5.6	1	3.9	1	2.6	9	3.1	9	0	9	2.1	1			4.5	1	110	9	2352	9	6.2	1	110	9	2345	9							6.0	1			2345	9
45055001	ORLEANS	47.990667	1.778167	123	20220111	0.0	1	-0.5	1	1029	9	2.8	1	1336	9	0.4	1	1.2	1	3.3	1	-1.6	9	-0.9	9	526	9	2.5	1			4.6	1	40	1	1534	9	6.3	1	40	1	1532	9							6.0	1			1532	9
45055001	ORLEANS	47.990667	1.778167	123	20220112	0.0	1	-1.6	1	306	9	3.0	1	1641	9	0.5	1	0.7	1	4.6	1	-1.1	9	-1.3	9	730	9	3.2	1			4.8	1	30	9	2118	9	11.6	1	20	9	2110	9							11.0	1			2110	9
45055001	ORLEANS	47.990667	1.778167	123	20220113	0.0	1	0.6	1	625	9	3.1	1	1439	9	1.4	1	1.9	1	2.5	1	-3.7	9	-2.1	9	0	9	5.0	1			7.6	1	50	1	934	9	9.6	1	50	9	2049	9							9.3	1			2047	9
45055001	ORLEANS	47.990667	1.778167	123	20220114	0.0	1	-1.3	1	630	9	2.4	1	1527	9	-0.4	1	0.6	1	3.7	1	-5.0	9	-3.5	9	958	9	1.9	1			3.3	1	80	1	655	9	4.7	1	40	1	252	9							4.5	1			252	9
45055001	ORLEANS	47.990667	1.778167	123	20220115	0.0	1	-4.6	1	449	9	-0.4	1	1401	9	-2.3	1	-2.5	1	4.2	1	-7.2	9	-6.3	9	1440	9	1.9	1			4.4	1	270	9	2300	9	6.2	1	260	9	2323	9							5.9	1			2033	9
45055001	ORLEANS	47.990667	1.778167	123	20220116	0.0	1	-2.2	1	2216	9	2.9	1	551	9	0.6	1	0.4	1	5.1	1	-1.8	9	-1.9	9	586	9	4.2	1			7.1	1	230	1	1131	9	9.0	1	210	1	1205	9							8.7	1			1310	9
45055001	ORLEANS	47.990667	1.778167	123	20220117	0.0	1	1.9	1	1801	9	5.2	1	1451	9	3.7	1	3.6	1	3.3	1	2.0	9	2.0	9	0	9	1.5	1			3.6	1	340	1	1707	9	5.1	1	10	1	1806	9							5.0	1			1810	9
45055001	ORLEANS	47.990667	1.778167	123	20220118	0.0	1	0.7	1	645	9	7.1	1	1529	9	3.1	1	3.9	1	6.4	1	0.8	9	0.9	9	0	9	3.1	1			5.9	1	60	1	956	9	7.9	1	60	1	1007	9							7.8	1			1048	9
45055001	ORLEANS	47.990667	1.778167	123	20220119	0.8	1	2.1	1	1949	9	5.4	1	1427	9	4.3	1	3.8	1	3.3	1	-1.6	9	0.6	9	0	9	3.6	1			5.5	1	230	1	756	9	7.2	1	230	1	752	9							7.1	1			752	9
45055001	ORLEANS	47.990667	1.778167	123	20220120	0.0	1	0.3	1	802	9	7.0	1	1113	9	3.6	1	3.7	1	6.7	1	-1.4	9	-0.4	9	9	9	3.6	1			8.0	1	30	1	1832	9	12.4	1	360	1	1405	9							11.5	1			1410	9
45055001	ORLEANS	47.990667	1.778167	123	20220121	0.0	1	-0.1	1	2306	9	5.7	1	1446	9	1.9	1	2.8	1	5.8	1	-1.6	9	-1.2	9	185	9	3.6	1			6.4	1	10	1	1337	9	9.7	1	360	1	1348	9							9.3	1			1348	9
45055001	ORLEANS	47.990667	1.778167	123	20220122	0.0	1	-2.5	1	314	9	5.3	1	1339	9	2.7	1	1.4	1	7.8	1	-7.2	9	-5.0	9	297	9	2.4	1			4.1	1	10	1	1320	9	5.5	1	360	1	1312	9							5.3	1			1313	9
45055001	ORLEANS	47.990667	1.778167	123	20220123	0.0	1	2.5	1	758	9	3.9	1	1836	9	2.6	1	3.2	1	1.4	1	2.6	9	2.7	9	97	9	3.7	1			5.8	1	80	1	1218	9	7.7	1	60	1	1044	9							7.4	1			1044	9
45055001	ORLEANS	47.990667	1.778167	123	20220124	0.0	1	-2.2	1	528	9	1.4	1	1406	9	-0.6	1	-0.4	1	3.6	1	-5.4	9	-3.0	9	996	9	2.4	1			4.7	1	70	1	709	9	5.8	1	70	1	814	9							5.6	1			814	9
45055001	ORLEANS	47.990667	1.778167	123	20220125	0.0	1	-2.5	1	804	9	-1.1	1	1341	9	-1.8	1	-1.8	1	1.4	1	-1.9	9	-2.1	9	1440	9	1.0	1			2.8	1	270	1	1436	9	4.1	1	230	1	1206	9							3.9	1			1210	9
45055001	ORLEANS	47.990667	1.778167	123	20220126	0.0	1	-2.1	1	2200	9	0.1	1	1455	9	-0.8	1	-1.0	1	2.2	1	-1.7	9	-1.9	9	1370	9	1.7	1			3.2	1	360	1	1140	9	4.3	1	40	1	307	9							4.3	1			1153	9
45055001	ORLEANS	47.990667	1.778167	123	20220127	0.0	1	-0.5	1	443	9	3.6	1	502	9	1.2	1	1.6	1	4.1	1	-0.3	9	-0.3	9	574	9	4.0	1			6.4	1	220	1	1249	9	7.9	1	210	1	1243	9							7.8	1			1310	9
45055001	ORLEANS	47.990667	1.778167	123	20220128	0.2	1	2.3	1	1841	9	5.8	1	1417	9	4.5	1	4.1	1	3.5	1	2.0	9	2.1	9	0	9	2.1	1			3.7	1	220	1	56	9	4.9	1	220	1	102	9							4.7	1			110	9
45055001	ORLEANS	47.990667	1.778167	123	20220129	0.0	1	4.1	1	220	9	8.4	1	1525	9	6.6	1	6.3	1	4.3	1	4.2	9	4.2	9	0	9	4.9	1			7.1	1	240	1	1310	9	9.9	1	240	1	1313	9							9.5	1			1313	9
45055001	ORLEANS	47.990667	1.778167	123	20220130	0.2	1	6.3	1	1800	9	10.8	1	1355	9	7.6	1	8.6	1	4.5	1	4.7	9	5.7	9	0	9	2.9	1			5.5	1	280	9	2351	9	7.5	1	290	9	2350	9							7.3	1			2350	9
45055001	ORLEANS	47.990667	1.778167	123	20220131	0.0	1	2.9	1	154	9	9.4	1	1251	9	4.8	1	6.2	1	6.5	1	1.6	9	2.3	9	134	9	6.3	1			11.9	1	330	1	1350	9	23.5	1	330	1	1409	9							18.7	1			1410	9
45055001	ORLEANS	47.990667	1.778167	123	20220201	1.4	1	-2.0	1	2348	9	10.0	1	1400	9	5.8	1	4.0	1	12.0	1	-6.4	9	-3.8	9	174	9	5.7	1			9.0	1	280	1	1420	9	12.3	1	290	1	1417	9							11.8	1			1416	9
45055001	ORLEANS	47.990667	1.778167	123	20220202	0.0	1	7.5	1	553	9	9.6	1	1113	9	8.3	1	8.6	1	2.1	1	7.1	9	7.3	9	0	9	4.0	1			6.9	1	270	1	1	9	9.2	1	290	1	49	9							8.9	1			49	9
45055001	ORLEANS	47.990667	1.778167	123	20220203	0.0	1	3.3	1	814	9	7.3	1	1117	9	6.0	1	5.3	1	4.0	1	2.6	9	3.0	9	0	9	3.6	1			6.1	1	190	1	534	9	9.0	1	200	1	526	9							8.8	1			526	9
45055001	ORLEANS	47.990667	1.778167	123	20220204	1.2	1	5.1	1	2223	9	10.7	1	1325	9	5.8	1	7.9	1	5.6	1	4.2	9	4.5	9	37	9	5.5	1			8.9	1	240	1	1355	9	12.0	1	250	1	1350	9							11.8	1			1350	9
45055001	ORLEANS	47.990667	1.778167	123	20220205	0.0	1	-1.8	1	109	9	10.1	1	1358	9	3.9	1	4.2	1	11.9	1	-6.3	9	-4.1	9	405	9	4.2	1			7.5	1	250	1	1506	9	9.3	1	260	1	1438	9							9.2	1			1510	9
45055001	ORLEANS	47.990667	1.778167	123	20220206	2.6	1	4.1	1	2233	9	10.6	1	1835	9	8.1	1	7.4	1	6.5	1	3.4	9	3.8	9	0	9	10.0	1			13.8	1	230	1	1254	9	18.6	1	240	1	1248	9							18.2	1			1248	9
45055001	ORLEANS	47.990667	1.778167	123	20220207	0.0	1	0.2	1	709	9	10.7	1	1419	9	5.9	1	5.5	1	10.5	1	-2.3	9	-0.7	9	0	9	3.1	1			7.8	1	290	1	15	9	11.1	1	280	1	2	9							10.4	1			10	9
45055001	ORLEANS	47.990667	1.778167	123	20220208	0.0	1	2.9	1	48	9	12.7	1	1522	9	6.5	1	7.8	1	9.8	1	-2.0	9	1.1	9	0	9	2.1	1			4.8	1	230	1	1344	9	6.0	1	230	1	1338	9							5.8	1			1338	9
45055001	ORLEANS	47.990667	1.778167	123	20220209	0.0	1	-1.8	1	619	9	14.1	1	1458	9	6.2	1	6.2	1	15.9	1	-5.9	9	-4.1	9	138	9	2.2	1			6.5	1	220	1	1325	9	8.5	1	220	9	2333	9							8.2	1			2333	9
45055001	ORLEANS	47.990667	1.778167	123	20220210	0.8	1	3.8	1	640	9	10.6	1	1234	9	6.4	1	7.2	1	6.8	1	-1.9	9	1.6	9	0	9	4.7	1			9.2	1	230	1	314	9	12.2	1	260	1	151	9							11.9	1			151	9
45055001	ORLEANS	47.990667	1.778167	123	20220211	0.0	1	-1.8	1	658	9	9.0	1	1346	9	2.9	1	3.6	1	10.8	1	-8.0	9	-5.8	9	410	9	2.3	1			5.1	1	60	1	1511	9	7.7	1	70	1	1005	9							7.2	1			1010	9
45055001	ORLEANS	47.990667	1.778167	123	20220212	0.0	1	-2.2	1	611	9	9.9	1	1421	9	3.0	1	3.9	1	12.1	1	-4.7	9	-2.7	9	496	9	2.9	1			4.9	1	150	1	1039	9	6.7	1	140	1	1041	9							6.6	1			2131	9
45055001	ORLEANS	47.990667	1.778167	123	20220213	0.2	1	-1.1	1	342	9	14.6	1	1414	9	7.8	1	6.8	1	15.7	1	-2.8	9	-1.9	9	214	9	6.3	1			11.7	1	200	1	1458	9	17.0	1	190	1	1436	9							16.3	1			1436	9
45055001	ORLEANS	47.990667	1.778167	123	20220214	7.9	1	6.5	1	623	9	11.0	1	1150	9	7.7	1	8.8	1	4.5	1	5.8	9	5.8	9	0	9	6.7	1			12.4	1	210	1	255	9	17.9	1	200	1	54	9							17.2	1			127	9
45055001	ORLEANS	47.990667	1.778167	123	20220215	3.2	1	1.7	1	538	9	10.4	1	529	9	6.4	1	6.1	1	8.7	1	0.7	9	1.3	9	0	9	6.9	1			10.2	1	210	9	2150	9	14.4	1	210	9	2146	9							13.6	1			2148	9
45055001	ORLEANS	47.990667	1.778167	123	20220216	0.2	1	8.3	1	2038	9	14.2	1	1435	9	11.9	1	11.3	1	5.9	1	7.9	9	8.0	9	0	9	10.4	1			13.2	1	230	9	2109	9	18.1	1	220	9	2037	9							17.4	1			2037	9
45055001	ORLEANS	47.990667	1.778167	123	20220217	1.2	1	9.7	1	805	9	14.1	1	1429	9	11.6	1	11.9	1	4.4	1	9.3	9	9.7	9	0	9	6.9	1			11.8	1	240	1	207	9	16.9	1	230	1	38	9							16.3	1			12	9
45055001	ORLEANS	47.990667	1.778167	123	20220218	1.2	1	7.2	1	1752	9	12.1	1	1132	9	9.1	1	9.7	1	4.9	1	5.8	9	6.4	9	0	9	9.2	1			15.7	1	240	1	1210	9	23.3	1	270	1	1208	9							21.9	1			1210	9
45055001	ORLEANS	47.990667	1.778167	123	20220219	0.4	1	0.7	1	629	9	10.0	1	1456	9	6.0	1	5.4	1	9.3	1	-0.6	9	0.0	9	0	9	7.1	1			10.8	1	220	1	1611	9	14.8	1	220	1	1545	9							14.6	1			1610	9
45055001	ORLEANS	47.990667	1.778167	123	20220220	1.6	1	6.9	1	2325	9	13.5	1	1204	9	10.0	1	10.2	1	6.6	1	6.5	9	6.5	9	0	9	9.8	1			14.0	1	220	9	2050	9	20.9	1	230	9	2215	9							19.8	1			2215	9
45055001	ORLEANS	47.990667	1.778167	123	20220221	0.0	1	5.1	1	736	9	11.1	1	1322	9	7.7	1	8.1	1	6.0	1	4.4	9	4.8	9	0	9	9.0	1			14.5	1	290	1	13	9	20.2	1	280	1	1240	9							19.3	1			1240	9
45055001	ORLEANS	47.990667	1.778167	123	20220222	0.2	1	2.8	1	342	9	11.8	1	1541	9	7.9	1	7.3	1	9.0	1	1.4	9	2.2	9	0	9	5.6	1			9.0	1	220	1	1035	9	12.4	1	220	1	1034	9							11.7	1			1034	9
45055001	ORLEANS	47.990667	1.778167	123	20220223	0.2	1	4.6	1	206	9	12.8	1	1504	9	8.9	1	8.7	1	8.2	1	-1.3	9	1.9	9	0	9	2.5	1			6.2	1	220	1	1346	9	9.4	1	240	1	1241	9							8.9	1			1241	9
45055001	ORLEANS	47.990667	1.778167	123	20220224	1.6	1	5.5	1	1759	9	12.2	1	1250	9	6.9	1	8.9	1	6.7	1	4.3	9	4.9	9	0	9	5.6	1			12.2	1	230	1	1200	9	21.4	1	270	1	1359	9							20.8	1			1359	9
45055001	ORLEANS	47.990667	1.778167	123	20220225	0.2	1	-0.6	1	334	9	10.8	1	1417	9	4.0	1	5.1	1	11.4	1	-2.0	9	-1.3	9	236	9	3.6	1			5.9	1	320	1	1304	9	9.3	1	310	1	1216	9							9.1	1			1216	9
45055001	ORLEANS	47.990667	1.778167	123	20220226	0.2	1	-2.1	1	611	9	10.4	1	1343	9	3.9	1	4.2	1	12.5	1	-6.4	9	-3.2	9	387	9	4.3	1			8.9	1	110	1	1430	9	12.6	1	110	1	1426	9							12.2	1			1426	9
45055001	ORLEANS	47.990667	1.778167	123	20220227	0.0	1	-3.2	1	714	9	11.1	1	1447	9	3.8	1	4.0	1	14.3	1	-5.3	9	-4.1	9	322	9	3.1	1			5.6	1	90	1	21	9	8.8	1	90	1	17	9							8.0	1			17	9
45055001	ORLEANS	47.990667	1.778167	123	20220228	0.2	1	-4.1	1	623	9	14.6	1	1539	9	4.9	1	5.3	1	18.7	1	-9.8	9	-6.7	9	445	9	1.6	1			3.7	1	90	1	1836	9	4.9	1	100	1	1107	9							4.8	1			1110	9
45055001	ORLEANS	47.990667	1.778167	123	20220301	0.0	1	-0.4	1	155	9	14.1	1	1519	9	7.1	1	6.9	1	14.5	1	-4.5	9	-1.7	9	56	9	1.7	1			4.5	1	150	1	1017	9	6.3	1	140	1	1016	9							6.0	1			1016	9
45055001	ORLEANS	47.990667	1.778167	123	20220302	0.0	1	2.1	1	507	9	13.5	1	1424	9	8.2	1	7.8	1	11.4	1	1.4	9	1.8	9	0	9	2.1	1			4.6	1	220	9	2001	9	6.2	1	220	1	1953	9							6.1	1			1953	9
45055001	ORLEANS	47.990667	1.778167	123	20220303	0.0	1	8.4	1	2318	9	12.9	1	1227	9	9.1	1	10.7	1	4.5	1	5.7	9	7.0	9	0	9	2.2	1			5.6	1	260	1	1420	9	7.9	1	280	1	1428	9							7.5	1			1420	9
45055001	ORLEANS	47.990667	1.778167	123	20220304	1.0	1	3.8	1	645	9	12.2	1	1211	9	8.0	1	8.0	1	8.4	1	-0.1	9	1.9	9	0	9	3.5	1			7.3	1	340	1	1540	9	9.7	1	310	1	1531	9							9.3	1			1531	9
45055001	ORLEANS	47.990667	1.778167	123	20220305	0.0	1	6.3	1	29	9	10.6	1	1343	9	7.4	1	8.5	1	4.3	1	6.3	9	6.2	9	0	9	3.3	1			5.4	1	330	1	1514	9	7.3	1	340	1	1557	9							7.2	1			1557	9
45055001	ORLEANS	47.990667	1.778167	123	20220306	0.0	1	0.8	1	653	9	8.3	1	1431	9	3.9	1	4.6	1	7.5	1	-0.5	9	-0.1	9	60	9	5.0	1			8.7	1	40	1	1258	9	13.8	1	70	1	1249	9							13.2	1			1249	9
45055001	ORLEANS	47.990667	1.778167	123	20220307	0.0	1	-3.0	1	648	9	7.7	1	1419	9	2.3	1	2.4	1	10.7	1	-4.4	9	-3.2	9	539	9	5.0	1			9.5	1	60	1	1028	9	12.8	1	60	1	1014	9							12.3	1			1014	9
45055001	ORLEANS	47.990667	1.778167	123	20220308	0.0	1	-2.0	1	404	9	15.9	1	1518	9	6.9	1	7.0	1	17.9	1	-3.8	9	-3.2	9	303	9	2.8	1			5.8	1	120	1	852	9	8.1	1	170	1	1337	9							7.7	1			1337	9
45055001	ORLEANS	47.990667	1.778167	123	20220309	0.0	1	3.7	1	500	9	15.8	1	1435	9	9.6	1	9.8	1	12.1	1	-2.3	9	1.4	9	0	9	3.7	1			6.7	1	160	1	1417	9	10.9	1	150	1	1412	9							10.1	1			1412	9
45055001	ORLEANS	47.990667	1.778167	123	20220310	0.0	1	4.0	1	624	9	16.6	1	1224	9	10.8	1	10.3	1	12.6	1	2.5	9	3.4	9	0	9	3.6	1			6.3	1	230	1	1438	1	10.8	1	200	1	1414	9							10.3	1			1414	1
45055001	ORLEANS	47.990667	1.778167	123	20220311	3.6	1	7.1	1	405	9	13.8	1	1214	9	9.4	1	10.5	1	6.7	1	3.1	9	5.5	9	0	9	5.8	1			10.0	1	220	1	1359	9	15.7	1	190	1	1218	9							14.6	1			1218	9
45055001	ORLEANS	47.990667	1.778167	123	20220312	2.0	1	5.1	1	309	9	10.4	1	1152	9	7.8	1	7.8	1	5.3	1	3.6	9	4.4	9	0	9	4.8	1			7.6	1	140	1	1441	9	11.5	1	160	9	2333	9							10.9	1			2333	9
45055001	ORLEANS	47.990667	1.778167	123	20220313	7.0	1	6.4	1	243	9	9.7	1	1113	9	7.3	1	8.1	1	3.3	1	5.1	9	5.8	9	0	9	4.5	1			6.9	1	170	1	1209	9	10.7	1	160	1	1107	9							10.2	1			1110	9
45055001	ORLEANS	47.990667	1.778167	123	20220314	2.4	1	1.6	1	506	9	15.7	1	1459	9	8.5	1	8.7	1	14.1	1	-1.0	9	0.5	9	0	9	3.5	1			6.1	1	90	1	1625	9	10.4	1	100	1	1412	9							9.8	1			1412	9
45055001	ORLEANS	47.990667	1.778167	123	20220315	0.2	1	6.6	1	2129	9	14.8	1	1536	9	10.4	1	10.7	1	8.2	1	5.4	9	5.9	9	0	9	2.1	1			3.0	1	70	1	954	9	5.1	1	20	1	853	9							4.9	1			853	9
45055001	ORLEANS	47.990667	1.778167	123	20220316	0.0	1	6.0	1	452	9	14.3	1	1418	9	10.4	1	10.2	1	8.3	1	3.5	9	5.0	9	0	9	2.0	1			8.4	1	330	9	2133	9	12.6	1	330	9	2128	9							12.1	1			2128	9
45055001	ORLEANS	47.990667	1.778167	123	20220317	0.0	1	6.6	1	620	9	9.0	1	1302	9	7.5	1	7.8	1	2.4	1	5.3	9	5.7	9	0	9	5.0	1			8.0	1	350	1	823	9	13.4	1	10	1	1508	9							12.8	1			1510	9
45055001	ORLEANS	47.990667	1.778167	123	20220318	0.0	1	4.3	1	44	9	14.8	1	1458	9	8.4	1	9.6	1	10.5	1	3.2	9	3.5	9	0	9	8.2	1			13.9	1	60	1	1515	9	20.5	1	50	1	1535	9							19.1	1			1537	9
45055001	ORLEANS	47.990667	1.778167	123	20220319	0.0	1	4.0	1	38	9	15.1	1	1507	9	8.8	1	9.6	1	11.1	1	2.7	9	3.1	9	0	9	5.8	1			8.4	1	60	1	458	9	11.9	1	60	1	508	9							11.5	1			510	9
45055001	ORLEANS	47.990667	1.778167	123	20220320	0.0	1	-0.7	1	552	9	13.9	1	1448	9	6.5	1	6.6	1	14.6	1	-2.9	9	-2.0	9	105	9	2.9	1			5.0	1	50	1	1	9	6.1	1	60	1	35	9							5.9	1			35	9
45055001	ORLEANS	47.990667	1.778167	123	20220321	0.0	1	5.8	1	535	9	18.4	1	1506	9	11.9	1	12.1	1	12.6	1	2.8	9	4.3	9	0	9	3.5	1			5.8	1	100	1	1438	9	9.3	1	100	1	1420	9							8.4	1			1420	9
45055001	ORLEANS	47.990667	1.778167	123	20220322	0.0	1	4.6	1	451	9	16.9	1	1415	9	11.1	1	10.8	1	12.3	1	1.0	9	2.7	9	0	9	4.7	1			7.7	1	140	1	1257	9	12.1	1	130	1	1201	9							11.5	1			1210	9
45055001	ORLEANS	47.990667	1.778167	123	20220323	0.0	1	1.6	1	526	9	18.2	1	1416	9	10.5	1	9.9	1	16.6	1	-4.3	9	-1.6	9	0	9	3.7	1			8.4	1	110	1	1232	9	12.1	1	110	1	1209	9							11.8	1			1210	9
45055001	ORLEANS	47.990667	1.778167	123	20220324	0.0	1	1.4	1	453	9	21.1	1	1336	9	11.0	1	11.3	1	19.7	1	-2.0	9	0.5	9	0	9	2.5	1			5.8	1	60	1	1711	9	8.2	1	60	1	1705	9							8.0	1			1710	9
45055001	ORLEANS	47.990667	1.778167	123	20220325	0.0	1	3.3	1	546	9	20.2	1	1337	9	11.0	1	11.8	1	16.9	1	2.3	9	2.6	9	0	9	5.3	1			8.7	1	50	1	1230	9	13.3	1	50	1	1303	9							13.0	1			1310	9
45055001	ORLEANS	47.990667	1.778167	123	20220326	0.0	1	1.8	1	540	9	19.8	1	1438	9	11.0	1	10.8	1	18.0	1	0.4	9	0.9	9	0	9	5.5	1			9.5	1	50	1	1225	9	12.7	1	60	1	1148	9							12.4	1			1219	9
45055001	ORLEANS	47.990667	1.778167	123	20220327	0.0	1	3.2	1	527	9	21.1	1	1443	9	11.6	1	12.2	1	17.9	1	-0.5	9	1.6	9	0	9	3.3	1			7.1	1	50	1	1351	9	9.4	1	50	1	1345	9							9.0	1			1341	9
45055001	ORLEANS	47.990667	1.778167	123	20220328	0.0	1	3.6	1	448	9	22.6	1	1437	9	13.4	1	13.1	1	19.0	1	-2.0	9	0.9	9	0	9	1.8	1			3.8	1	40	1	1657	9	6.1	1	200	1	1313	9							5.5	1			1313	9
45055001	ORLEANS	47.990667	1.778167	123	20220329	3.8	1	9.1	1	519	9	15.7	1	1035	9	12.0	1	12.4	1	6.6	1	6.4	9	8.6	9	0	9	2.1	1			5.7	1	260	1	1106	9	8.9	1	260	9	2307	9							8.7	1			2310	9
45055001	ORLEANS	47.990667	1.778167	123	20220330	1.0	1	6.0	1	523	9	12.7	1	1519	9	9.3	1	9.4	1	6.7	1	2.2	9	3.9	9	0	9	2.5	1			5.7	1	350	9	2254	9	9.3	1	360	1	1725	9							8.9	1			1725	9
45055001	ORLEANS	47.990667	1.778167	123	20220331	0.0	1	3.7	1	537	9	8.3	1	1453	9	5.1	1	6.0	1	4.6	1	2.0	9	2.9	9	0	9	6.4	1			12.2	1	350	1	1522	9	16.6	1	350	1	1515	9							15.7	1			1515	9
